Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Ibrahim Zadran,32,32,3,1,100,Afghanistan
Usman Ghani,30,30,3,0,100,Afghanistan
Najibullah Zadran,13,11,0,1,118.18,Afghanistan
Mohammad Nabi(c),3,5,0,0,60,Afghanistan
Azmatullah Omarzai,8,6,1,0,133.33,Afghanistan
Rashid Khan,0,1,0,0,0,Afghanistan
Mujeeb Ur Rahman,0,1,0,0,0,Afghanistan
Fareed Ahmad,2,4,0,0,50,Afghanistan
Fazalhaq Farooqi,0,2,0,0,0,Afghanistan
Jos Buttler(c),18,18,3,0,100,England
Alex Hales,19,20,0,1,95,England
Dawid Malan,18,30,0,0,60,England
Ben Stokes,2,4,0,0,50,England
Liam Livingstone,29,21,3,0,138.09,England
Harry Brook,7,6,0,0,116.66,England
Moeen Ali,8,10,0,0,80,England
Paul Stirling,34,25,4,1,136,Ireland
Andy Balbirnie(c),1,5,0,0,20,Ireland
Lorcan Tucker,10,11,1,0,90.9,Ireland
Harry Tector,45,42,2,1,107.14,Ireland
Curtis Campher,2,4,0,0,50,Ireland
George Dockrell,14,16,0,0,87.5,Ireland
Gareth Delany,9,6,1,0,150,Ireland
Mark Adair,0,1,0,0,0,Ireland
Simi Singh,7,8,1,0,87.5,Ireland
Barry McCarthy,2,2,0,0,100,Ireland
Kusal Mendis,68,43,5,3,158.13,Sri Lanka
Dhananjaya de Silva,31,25,2,1,124,Sri Lanka
Charith Asalanka,31,22,2,0,140.9,Sri Lanka
Mohammad Rizwan,4,12,1,0,33.33,Pakistan
Babar Azam(c),0,1,0,0,0,Pakistan
Shan Masood,52,42,5,0,123.8,Pakistan
Iftikhar Ahmed,51,34,2,4,150,Pakistan
Shadab Khan,5,6,1,0,83.33,Pakistan
Haider Ali,2,4,0,0,50,Pakistan
Mohammad Nawaz,9,6,2,0,150,Pakistan
Asif Ali,2,3,0,0,66.66,Pakistan
Shaheen Shah Afridi,16,8,1,1,200,Pakistan
Haris Rauf,6,4,0,1,150,Pakistan
KL Rahul,4,8,0,0,50,India
Rohit Sharma(c),4,7,0,0,57.14,India
Virat Kohli,82,53,6,4,154.71,India
Suryakumar Yadav,15,10,2,0,150,India
Axar Patel,2,3,0,0,66.66,India
Hardik Pandya,40,37,1,2,108.1,India
Dinesh Karthik,1,2,0,0,50,India
Ravichandran Ashwin,1,1,0,0,100,India
Najmul Hossain Shanto,25,20,4,0,125,Bangladesh
Soumya Sarkar,14,14,2,0,100,Bangladesh
Litton Das,9,11,0,0,81.81,Bangladesh
Shakib Al Hasan(c),7,9,0,0,77.77,Bangladesh
Afif Hossain,38,27,2,2,140.74,Bangladesh
Yasir Ali,3,5,0,0,60,Bangladesh
Nurul Hasan,13,18,0,0,72.22,Bangladesh
Mosaddek Hossain,20,12,2,1,166.66,Bangladesh
Taskin Ahmed,0,1,0,0,0,Bangladesh
Hasan Mahmud,0,3,0,0,0,Bangladesh
Vikramjit Singh,0,1,0,0,0,Netherlands
Max O'Dowd,8,8,0,1,100,Netherlands
Bas de Leede,0,1,0,0,0,Netherlands
Colin Ackermann,62,48,6,2,129.16,Netherlands
Tom Cooper,0,0,0,0,-,Netherlands
Scott Edwards(c),16,24,1,0,66.66,Netherlands
Tim Pringle,1,6,0,0,16.66,Netherlands
Logan van Beek,2,5,0,0,40,Netherlands
Shariz Ahmad,9,8,1,0,112.5,Netherlands
Fred Klaassen,7,6,0,0,116.66,Netherlands
Paul van Meekeren,24,14,3,1,171.42,Netherlands
Regis Chakabva,8,8,0,1,100,Zimbabwe
Craig Ervine(c),2,6,0,0,33.33,Zimbabwe
Sean Williams,1,1,0,0,100,Zimbabwe
Sikandar Raza,0,2,0,0,0,Zimbabwe
Wessly Madhevere,35,18,4,1,194.44,Zimbabwe
Milton Shumba,18,20,2,0,90,Zimbabwe
Quinton de Kock,47,18,8,1,261.11,South Africa
Temba Bavuma(c),2,2,0,0,100,South Africa
Pathum Nissanka,40,45,2,0,88.88,Sri Lanka
Kusal Mendis,5,6,1,0,83.33,Sri Lanka
Dhananjaya de Silva,26,23,3,0,113.04,Sri Lanka
Charith Asalanka,38,25,3,2,152,Sri Lanka
Bhanuka Rajapaksa,7,5,1,0,140,Sri Lanka
Dasun Shanaka(c),3,5,0,0,60,Sri Lanka
Wanindu Hasaranga de Silva,1,4,0,0,25,Sri Lanka
Chamika Karunaratne,14,7,2,0,200,Sri Lanka
David Warner,11,10,0,0,110,Australia
Aaron Finch(c),31,42,0,1,73.8,Australia
Mitchell Marsh,17,17,1,1,100,Australia
Glenn Maxwell,23,12,2,2,191.66,Australia
Marcus Stoinis,59,18,4,6,327.77,Australia
Paul Stirling,14,8,1,1,175,Ireland
Andy Balbirnie(c),62,47,5,2,131.91,Ireland
Lorcan Tucker,34,27,3,1,125.92,Ireland
Harry Tector,0,2,0,0,0,Ireland
Curtis Campher,18,11,3,0,163.63,Ireland
George Dockrell,0,1,0,0,0,Ireland
Gareth Delany,12,10,1,0,120,Ireland
Mark Adair,4,4,0,0,100,Ireland
Barry McCarthy,3,3,0,0,100,Ireland
Fionn Hand,1,2,0,0,50,Ireland
Josh Little,0,1,0,0,0,Ireland
Jos Buttler(c),0,2,0,0,0,England
Alex Hales,7,5,1,0,140,England
Dawid Malan,35,37,2,0,94.59,England
Ben Stokes,6,8,0,0,75,England
Harry Brook,18,21,1,0,85.71,England
Moeen Ali,24,12,3,1,200,England
Liam Livingstone,1,2,0,0,50,England
Temba Bavuma(c),2,6,0,0,33.33,South Africa
Quinton de Kock,63,38,7,3,165.78,South Africa
Rilee Rossouw,109,56,7,8,194.64,South Africa
Tristan Stubbs,7,7,1,0,100,South Africa
Aiden Markram,10,11,1,0,90.9,South Africa
David Miller,2,4,0,0,50,South Africa
Wayne Parnell,0,2,0,0,0,South Africa
Najmul Hossain Shanto,9,9,1,0,100,Bangladesh
Soumya Sarkar,15,6,0,2,250,Bangladesh
Litton Das,34,31,1,1,109.67,Bangladesh
Shakib Al Hasan(c),1,4,0,0,25,Bangladesh
Afif Hossain,1,5,0,0,20,Bangladesh
