Bowler,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Country
Binura Fernando,4,0,27,1,6.75,10,3,0,Sri Lanka
Lahiru Kumara,2,0,12,1,6,6,2,0,Sri Lanka
Maheesh Theekshana,4,0,19,2,4.75,8,1,0,Sri Lanka
Chamika Karunaratne,4,0,29,1,7.25,7,2,1,Sri Lanka
Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,Sri Lanka
Dhananjaya de Silva,2,0,13,1,6.5,3,1,0,Sri Lanka
Josh Little,4,0,45,0,11.25,5,4,1,Ireland
Mark Adair,2,0,16,0,8,2,1,0,Ireland
Barry McCarthy,2,0,16,0,8,4,0,1,Ireland
Gareth Delany,4,0,28,1,7,8,3,0,Ireland
Curtis Campher,1,0,8,0,8,2,1,0,Ireland
Simi Singh,2,0,20,0,10,3,0,2,Ireland
Bhuvneshwar Kumar,4,0,22,1,5.5,17,1,1,India
Arshdeep Singh,4,0,32,3,8,10,3,1,India
Mohammed Shami,4,0,25,1,6.25,14,4,0,India
Hardik Pandya,4,0,30,3,7.5,10,4,0,India
Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,India
Axar Patel,1,0,21,0,21,2,0,3,India
Shaheen Shah Afridi,4,0,34,0,8.5,7,4,0,Pakistan
Naseem Shah,4,0,23,1,5.75,10,1,0,Pakistan
Haris Rauf,4,0,36,2,9,11,2,2,Pakistan
Shadab Khan,4,0,21,0,5.25,10,2,0,Pakistan
Mohammad Nawaz,4,0,42,2,10.5,8,0,4,Pakistan
Fred Klaassen,4,0,33,1,8.25,10,5,0,Netherlands
Colin Ackermann,1,0,4,0,4,2,0,0,Netherlands
Paul van Meekeren,4,0,21,2,5.25,10,1,0,Netherlands
Bas de Leede,3,0,29,2,9.66,9,3,1,Netherlands
Tim Pringle,2,0,10,1,5,4,0,0,Netherlands
Shariz Ahmad,3,0,27,1,9,5,1,2,Netherlands
Logan van Beek,3,0,12,1,4,7,0,0,Netherlands
Taskin Ahmed,4,0,25,4,6.25,16,5,0,Bangladesh
Hasan Mahmud,4,1,15,2,3.75,16,2,0,Bangladesh
Shakib Al Hasan,4,0,32,1,8,6,0,2,Bangladesh
Mustafizur Rahman,4,0,20,0,5,14,2,0,Bangladesh
Soumya Sarkar,3,0,29,1,9.66,5,2,1,Bangladesh
Mosaddek Hossain,1,0,14,0,14,0,0,1,Bangladesh
Kagiso Rabada,2,0,20,0,10,4,2,1,South Africa
Wayne Parnell,2,0,6,1,3,9,1,0,South Africa
Lungi Ngidi,2,0,20,2,10,6,2,1,South Africa
Keshav Maharaj,1,0,10,0,10,1,1,0,South Africa
Anrich Nortje,2,0,10,1,5,5,0,0,South Africa
Tendai Chatara,1,0,23,0,23,0,4,1,Zimbabwe
Richard Ngarava,1,0,17,0,17,2,4,0,Zimbabwe
Sikandar Raza,1,0,11,0,11,1,0,0,Zimbabwe
Josh Hazlewood,4,0,26,1,6.5,13,3,0,Australia
Pat Cummins,4,0,36,1,9,12,5,1,Australia
Mitchell Starc,4,0,23,1,5.75,13,1,0,Australia
Ashton Agar,4,0,25,1,6.25,8,1,0,Australia
Marcus Stoinis,2,0,17,0,8.5,1,1,0,Australia
Mitchell Marsh,1,0,14,0,14,1,1,1,Australia
Glenn Maxwell,1,0,5,1,5,2,0,0,Australia
Binura Fernando,0.5,0,5,0,6,2,0,0,Sri Lanka
Dhananjaya de Silva,2.1,0,18,1,8.3,4,1,1,Sri Lanka
Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,Sri Lanka
Chamika Karunaratne,3,0,20,1,6.66,6,1,0,Sri Lanka
Maheesh Theekshana,3,0,23,1,7.66,11,0,3,Sri Lanka
Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,Sri Lanka
Dasun Shanaka,1,0,10,0,10,2,2,0,Sri Lanka
Ben Stokes,2.2,0,8,1,3.42,7,0,0,England
Chris Woakes,3,0,41,0,13.66,4,6,1,England
Mark Wood,4,0,34,3,8.5,13,4,1,England
Sam Curran,3,0,31,2,10.33,7,1,2,England
Adil Rashid,4,0,24,0,6,6,1,0,England
Liam Livingstone,3,0,17,3,5.66,5,1,0,England
Josh Little,3,0,16,2,5.33,11,2,0,Ireland
Mark Adair,2,0,10,0,5,5,0,0,Ireland
Barry McCarthy,3,0,20,1,6.66,7,1,0,Ireland
Fionn Hand,2,0,17,1,8.5,6,1,0,Ireland
